Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
January-2015,772.00,895.00,752.35,862.50,6777804,312134,5550536766.00,1398510,20.63,142.65,90.50
February-2015,862.50,869.40,780.50,862.75,7916837,381098,6482372240.00,1578521,19.94,88.90,0.25
March-2015,874.00,910.00,784.00,816.55,7739349,373457,6477695124.00,1334909,17.25,126.00,-57.45
April-2015,814.00,864.00,772.65,839.80,7811325,352148,6451989026.00,1996573,25.56,91.35,25.80
May-2015,850.00,884.80,789.00,882.60,5606778,188145,4762612638.00,1555677,27.75,95.80,32.60
June-2015,885.00,897.00,794.50,843.00,7200305,172139,6001666309.00,1936256,26.89,102.50,-42.00
July-2015,845.00,877.90,782.25,828.70,8882423,230333,7271244439.00,1864588,20.99,95.65,-16.30
August-2015,829.50,845.95,590.00,689.50,8968420,234075,6487296572.00,1870417,20.86,255.95,-140.00
September-2015,678.05,777.50,635.00,729.60,10836529,240741,7667893684.00,2446526,22.58,142.50,51.55
October-2015,734.80,779.70,708.65,759.10,6371885,170058,4732465740.00,1196742,18.78,71.05,24.30
November-2015,758.65,789.80,720.15,766.50,4356163,115929,3274617465.00,932197,21.40,69.65,7.85
December-2015,765.00,772.60,668.55,726.15,5248024,126138,3746837387.00,935045,17.82,104.05,-38.85
January-2016,725.00,749.50,632.25,746.90,7530211,183671,5188783537.00,1341592,17.82,117.25,21.90
February-2016,752.00,789.25,663.70,688.35,10015582,243933,7351003168.00,1844002,18.41,125.55,-63.65
March-2016,694.00,875.60,691.75,864.55,6860462,182708,5470936208.00,1021336,14.89,183.85,170.55
April-2016,860.10,952.20,826.65,943.65,7166040,199160,6371930334.00,1852358,25.85,125.55,83.55
May-2016,949.00,1045.00,906.40,1031.95,6173962,200045,5968301570.00,1149600,18.62,138.60,82.95
June-2016,1032.00,1115.00,1005.70,1106.50,5374624,188889,5728773662.00,1336006,24.86,109.30,74.50
July-2016,1109.80,1235.90,1106.75,1217.20,3182401,123395,3722217116.00,520717,16.36,129.15,107.40
August-2016,1220.00,1375.00,1203.40,1362.80,3107125,125022,4031112076.00,983004,31.64,171.60,142.80
September-2016,1366.50,1450.00,1156.00,1254.25,9578908,255510,12018189986.00,2588911,27.03,294.00,-112.25
October-2016,1267.05,1327.50,1229.00,1267.60,4336149,125090,5576496508.00,790810,18.24,98.50,0.55
November-2016,1275.00,1313.60,1095.50,1171.40,5824570,163243,6932728153.00,1634456,28.06,218.10,-103.60
December-2016,1177.00,1225.00,1091.25,1156.30,4138403,120147,4831235217.00,655535,15.84,133.75,-20.70
January-2017,1159.90,1421.55,1131.50,1395.50,4528614,140954,5963077926.00,732093,16.17,290.05,235.60
February-2017,1402.00,1470.95,1378.05,1452.80,2285991,88798,3250445089.00,364021,15.92,92.90,50.80
March-2017,1453.00,1557.85,1418.00,1549.10,4657657,97092,7028684165.00,2735444,58.73,139.85,96.10
April-2017,1548.00,1652.90,1501.00,1630.70,2927733,99478,4634959687.00,714569,24.41,151.90,82.70
May-2017,1630.00,1651.50,1375.75,1431.90,5638327,126086,8313923013.00,2712265,48.10,275.75,-198.10
June-2017,1433.30,1531.70,1401.05,1461.85,4434242,94355,6448326750.00,1864960,42.06,130.65,28.55
July-2017,1465.20,1860.00,1453.90,1809.80,7101467,161972,11589724243.00,2550179,35.91,406.10,344.60
August-2017,1815.00,1842.60,1686.85,1755.75,3312914,136297,5823953703.00,932490,28.15,155.75,-59.25
September-2017,1755.00,1884.85,345.50,350.00,6495062,97565,4025758269.00,2870640,44.20,1539.35,-1405.00
October-2017,354.60,375.75,299.00,314.35,17476950,230785,5801619192.00,6551345,37.49,76.75,-40.25
November-2017,315.50,329.80,296.00,306.80,16185290,186763,5025004117.00,6540933,40.41,33.80,-8.70
December-2017,307.20,319.00,300.65,315.05,14169974,84813,4415970450.00,9840104,69.44,18.35,7.85
January-2018,314.00,366.00,307.35,354.45,23719585,151427,8165520614.00,13630685,57.47,58.65,40.45
February-2018,355.00,366.50,304.65,322.25,15082368,124223,5011873607.00,5920188,39.25,61.85,-32.75
March-2018,320.70,325.80,285.10,304.90,19244939,127800,5891321832.00,8130395,42.25,40.70,-15.80
April-2018,305.00,368.75,303.30,362.05,28766895,183153,9322462301.00,12833985,44.61,65.45,57.05
May-2018,362.85,364.40,325.70,346.20,10967186,97557,3784628341.00,2602643,23.73,38.70,-16.65
June-2018,348.00,350.10,327.35,339.60,14441672,77980,4905283282.00,3529609,24.44,22.75,-8.40
July-2018,340.00,393.35,332.45,367.90,15267780,163082,5653093884.00,3691595,24.18,60.90,27.90
August-2018,369.95,404.00,338.00,343.40,18666053,185166,6889515378.00,5533082,29.64,66.00,-26.55
September-2018,347.20,350.00,166.15,183.45,77946975,709340,19823624282.00,20352488,26.11,183.85,-163.75
October-2018,180.00,268.45,168.60,188.05,94600562,792328,19975891592.00,19042327,20.13,99.85,8.05
November-2018,192.00,231.40,147.00,169.65,124982184,818295,23259880072.00,30259700,24.21,84.40,-22.35
December-2018,174.00,194.30,160.20,181.75,101000815,556123,17946542133.00,19377058,19.19,34.10,7.75
January-2019,182.85,236.30,181.15,194.30,121866300,672269,24465612674.00,27042304,22.19,55.15,11.45
February-2019,197.00,236.90,167.65,231.20,107877882,624595,22114446433.00,21704276,20.12,69.25,34.20
March-2019,234.60,281.30,228.80,275.05,58026987,306084,14537519250.00,11388353,19.63,52.50,40.45
