Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
29-March-2019,14.90,14.90,14.90,14.90,14.900000000000000000,8000,2,119200.00,0,0.00,0.00,0.00
28-March-2019,13.00,13.65,12.40,13.00,12.891666666666666666,48000,12,618800.00,20000,41.67,1.25,0.00
27-March-2019,13.00,13.90,13.00,13.65,13.407142857142857142,28000,7,375400.00,12000,42.86,0.90,0.65
26-March-2019,15.80,15.80,12.60,13.75,13.857142857142857142,56000,14,776000.00,28000,50.00,3.20,-2.05
25-March-2019,13.85,14.70,13.50,14.70,14.125000000000000000,16000,4,226000.00,8000,50.00,1.20,0.85
22-March-2019,13.90,14.70,13.90,13.90,14.100000000000000000,16000,4,225600.00,12000,75.00,0.80,0.00
20-March-2019,14.00,15.10,14.00,15.10,14.533333333333333333,12000,3,174400.00,8000,66.67,1.10,1.10
19-March-2019,16.80,16.80,13.80,14.20,14.837500000000000000,128000,32,1899200.00,28000,21.88,3.00,-2.60
18-March-2019,16.10,16.35,16.10,16.35,16.266666666666666666,12000,3,195200.00,0,0.00,0.25,0.25
15-March-2019,15.65,16.10,14.40,15.50,15.405000000000000000,40000,9,616200.00,20000,50.00,1.70,-0.15
14-March-2019,17.70,17.70,15.00,15.45,15.976190476190476190,84000,21,1342000.00,44000,52.38,2.70,-2.25
13-March-2019,16.65,17.25,15.20,17.25,16.318750000000000000,64000,16,1044400.00,12000,18.75,2.05,0.60
12-March-2019,14.00,16.40,13.80,16.20,15.309523809523809523,84000,16,1286000.00,52000,61.90,2.60,2.20
11-March-2019,12.60,17.85,12.60,14.45,15.409756097560975609,164000,38,2527200.00,40000,24.39,5.25,1.85
8-March-2019,14.50,16.25,13.60,15.70,15.240000000000000000,80000,16,1219200.00,24000,30.00,2.65,1.20
7-March-2019,15.50,15.50,13.00,13.60,13.864285714285714285,56000,12,776400.00,32000,57.14,2.50,-1.90
6-March-2019,14.55,14.55,13.40,14.00,13.844444444444444444,72000,17,996800.00,32000,44.44,1.15,-0.55
5-March-2019,13.80,15.00,13.55,14.55,14.452777777777777777,72000,17,1040600.00,12000,16.67,1.45,0.75
1-March-2019,17.25,18.75,14.60,15.85,16.201666666666666666,120000,27,1944200.00,40000,33.33,4.15,-1.40
28-February-2019,17.20,17.40,16.80,16.95,17.028571428571428571,28000,4,476800.00,20000,71.43,0.60,-0.25
27-February-2019,17.95,17.95,16.90,16.90,17.400000000000000000,24000,4,417600.00,20000,83.33,1.05,-1.05
26-February-2019,17.50,17.50,16.00,16.90,16.942105263157894736,76000,5,1287600.00,44000,57.89,1.50,-0.60
25-February-2019,16.55,17.60,16.35,17.25,17.107142857142857142,28000,7,479000.00,12000,42.86,1.25,0.70
22-February-2019,18.60,18.60,17.20,17.65,17.717500000000000000,80000,12,1417400.00,48000,60.00,1.40,-0.95
21-February-2019,18.35,20.00,18.00,18.75,18.706818181818181818,88000,16,1646200.00,44000,50.00,2.00,0.40
20-February-2019,19.50,19.50,17.00,18.35,18.093548387096774193,124000,25,2243600.00,56000,45.16,2.50,-1.15
19-February-2019,17.20,17.75,16.50,17.70,17.313333333333333333,60000,11,1038800.00,48000,80.00,1.25,0.50
18-February-2019,15.20,16.70,15.20,16.20,16.165000000000000000,80000,15,1293200.00,52000,65.00,1.50,1.00
15-February-2019,15.30,17.05,15.30,16.40,16.291176470588235294,68000,17,1107800.00,8000,11.76,1.75,1.10
14-February-2019,16.20,17.45,16.20,17.25,16.973333333333333333,60000,9,1018400.00,48000,80.00,1.25,1.05
